Company;Product;Price
Lenovo;ThinkPad 13;960.00
Apple;MacBook Pro;1518.55
Dell;XPS 13;1268.00
Lenovo;ThinkPad Yoga;2025.00
Lenovo;IdeaPad 520S-14IKB;599.00
Dell;Precision 5520;2135.00
Dell;Inspiron 3552;379.00
Dell;Vostro 5568;912.50
Lenovo;ThinkPad X1;2339.00
Dell;Inspiron 5579;1049.00
Lenovo;V110-15IAP (N3350/4GB/1TB/No;252.36
Lenovo;Legion Y520-15IKBN;1109.00
Apple;"MacBook 12""";1262.40
Dell;Inspiron 5570;749.00
Dell;Inspiron 3567;649.00
Lenovo;ThinkPad T470s;2299.00
Lenovo;Legion Y520-15IKBN;1149.00
Lenovo;Thinkpad 13;1010.00
Dell;Inspiron 3567;599.00
Dell;Latitude 5580;1008.52
Dell;Latitude 3580;729.90
Lenovo;Ideapad 700-15ISK;977.00
Dell;Vostro 5568;795.00
Lenovo;IdeaPad 320-15IKBN;467.00
Dell;Inspiron 7570;1142.75
Dell;Vostro 3568;708.06
Lenovo;Yoga 700-11ISK;1299.00
Dell;Latitude E5270;1135.15
Lenovo;IdeaPad 320-17IKB;649.00
Dell;Latitude 5480;1279.73
Lenovo;Yoga 730;1499.00
Dell;XPS 13;979.00
Lenovo;IdeaPad 320-17ISK;489.00
Dell;Latitude 3480;585.00
Dell;Inspiron 3552;393.49
Dell;Inspiron 5570;970.90
Lenovo;ThinkPad T470s;2382.00
Lenovo;IdeaPad 510-15IKB;789.00
Lenovo;Thinkpad P71;2999.00
Lenovo;Yoga 720-15IKB;1299.00
Lenovo;IdeaPad Y900-17ISK;2289.99
Dell;Inspiron 3552;324.00
Lenovo;Yoga 900-13ISK;1499.00
Lenovo;IdeaPad 110-17ACL;489.00
Dell;Inspiron 5577;1060.49
Dell;Inspiron 7567;1479.00
Dell;Alienware 17;2799.00
Dell;Vostro 5471;879.00
Lenovo;V330-15IKB (i3-7130U/4GB/128GB/FHD/W10);630.00
Lenovo;IdeaPad 510-15IKB;709.00
Lenovo;Yoga 11e;553.00
Dell;Inspiron 5568;795.99
Lenovo;Thinkpad P51;4899.00
Dell;Latitude 5590;1096.16
Lenovo;IdeaPad Y700-15ISK;1196.00
Lenovo;V310-15IKB (i5-7200U/4GB/1TB/No;489.90
Lenovo;ThinkPad E480;1049.00
Dell;Inspiron 5567;499.00
Dell;Latitude E7470;1962.98
Dell;Latitude 3580;810.00
