pop,upop
92495902.00,31.29
4190810.00,31.60
91401583.00,44.51
1042475394.00,22.47
896492991.00,16.92
265396501.00,62.10
667489033.00,55.38
155317369.00,38.07
409498462.00,61.21
120354582.00,17.89
162491185.00,12.24
907597507.00,62.68
186676748.00,56.11
720920759.00,64.29
220564224.00,49.28
177682238.00,44.86
241072814.00,9.62
2127373057.00,21.27
157188433.00,11.50
942911642.00,19.81
105512645.00,34.95
97869415.00,33.88
1970184624.00,22.05
198624409.00,69.92
786648153.00,62.48
6590560.00,14.34
861378.00,22.04
11642748.00,21.12
572036107.00,16.74
228268752.00,14.63
227974937.00,14.62
1027272982.00,24.11
3034970564.00,33.56
8994793.00,8.22
1608800.00,30.71
11124892.00,30.51
20012.00,66.21
13414.00,58.45
5270844.00,10.44
54681.00,39.66
20619075.00,73.61
1867396.00,51.28
54208.00,50.78
10276477.00,81.53
7047539.00,64.72
3897889.00,52.66
109526.00,59.71
162501.00,82.32
48200702.00,5.14
230934.00,36.78
8198000.00,32.40
9153489.00,92.46
92068.00,54.03
2431620.00,9.28
44400.00,100.00
224108.00,3.60
3693451.00,36.76
3214520.00,19.04
524029.00,3.06
72493585.00,46.14
81825.00,43.40
7867374.00,37.10
4829291.00,4.70
2786740.00,2.08
202316.00,16.68
5722370.00,10.29
5361367.00,13.94
17909009.00,69.06
7867.00,100.00
1503501.00,20.10
3002596.00,6.70
109419.00,38.70
7695692.00,67.84
667070000.00,16.20
16480384.00,45.03
188732.00,12.55
15248246.00,22.30
1013581.00,31.60
1333042.00,34.25
3474724.00,17.68
4140000.00,30.15
7141129.00,58.40
124826.00,74.71
572929.00,35.63
9602006.00,59.55
4579603.00,73.69
83636.00,50.33
60016.00,37.85
3294039.00,30.23
4545548.00,33.88
27072397.00,37.86
2762897.00,38.35
252115.00,25.54
1407631.00,9.75
1211537.00,57.53
22151218.00,6.43
34266.00,21.38
393383.00,29.68
4429634.00,55.29
46814237.00,61.88
78083.00,42.28
499189.00,17.40
367929.00,12.13
3645600.00,43.07
72814900.00,71.38
6652285.00,23.25
8331725.00,55.94
32500.00,58.53
89861.00,30.33
66741.00,50.15
4127555.00,31.12
3577413.00,10.47
616407.00,13.60
564222.00,29.01
3866160.00,15.59
2002333.00,22.75
3075605.00,85.20
9983967.00,55.91
175574.00,80.30
449661874.00,17.92
87792512.00,14.59
21906905.00,33.74
7289759.00,42.90
2828600.00,45.82
48441.00,55.12
2114020.00,76.85
50199700.00,59.36
1629003.00,33.77
92500572.00,63.27
844000.00,50.88
9714260.00,44.20
8105440.00,7.36
41234.00,16.29
11424179.00,40.20
25012374.00,27.71
261962.00,74.89
2172300.00,34.18
2119944.00,7.95
2120979.00,52.87
1804927.00,42.34
851412.00,3.51
1120314.00,18.63
1434576.00,27.32
16504.00,20.44
2778550.00,39.46
313970.00,69.56
171456.00,95.29
1488664.00,34.02
5099371.00,10.64
3618604.00,4.39
8160975.00,26.60
89875.00,11.17
5263730.00,11.07
326550.00,90.13
14665.00,35.58
858170.00,6.88
659351.00,33.18
38174114.00,50.75
44539.00,22.31
2544000.00,23.42
22454.00,100.00
955514.00,35.68
474203.00,18.79
12328534.00,29.36
7493278.00,4.77
21486424.00,19.23
602545.00,17.91
10056945.00,3.48
11486631.00,59.75
79000.00,37.36
2371800.00,76.00
1774696.00,39.58
3395212.00,5.79
45211614.00,15.41
10070.00,51.22
3581239.00,49.92
551737.00,16.40
44911810.00,22.10
9638.00,56.82
1132924.00,41.25
1966957.00,3.73
1902871.00,35.57
10061519.00,46.81
26273023.00,30.30
29637450.00,47.89
8857716.00,34.96
2358000.00,44.55
47309.00,85.28
18406905.00,34.21
119897000.00,53.73
2933424.00,2.60
108645.00,18.93
15393.00,48.90
64255.00,16.07
4086539.00,31.25
3177560.00,23.00
41700.00,27.67
2181701.00,17.35
1646400.00,100.00
4068095.00,33.46
1584720.00,28.20
117869.00,5.77
2756380.00,17.31
17396000.00,46.62
2955044.00,8.75
30455000.00,56.57
9896000.00,16.43
51197.00,27.64
89901.00,21.46
80948.00,25.94
7527450.00,10.75
289972.00,47.26
349233.00,3.91
7484656.00,72.49
5327827.00,51.02
4592777.00,36.81
2064035.00,33.17
10074490.00,5.25
27397178.00,19.67
499525.00,10.09
1580513.00,10.10
61600.00,17.55
848481.00,17.35
4220701.00,37.51
27553280.00,31.52
1593501.00,46.41
5724.00,47.68
6104.00,15.90
6788211.00,4.42
42662150.00,46.79
92612.00,73.50
