       numeric     text  with_missing label
0   -10.856306               4.433240     b
1     9.973454      foo      4.310229     b
2     2.829785  foo bar      2.469828     a
3   -15.062947               2.852981     b
4    -5.786003  foo bar      1.826475     a
5    16.514365               2.764315     b
6   -24.266792  foo bar      3.024317     b
7    -4.289126      foo      2.596040     b
8    12.659363               2.496415     a
9    -8.667404      bar      4.032080     a
10   -6.788862  foo bar      3.907483     b
11   -0.947090      bar      3.399122     a
12   14.913896               1.722489     a
13   -6.389020  bar foo      3.200931     a
14   -4.439820                    NaN     b
15   -4.343513  bar foo      4.315727     b
16   22.059301      foo      1.197709     a
17   21.867861      foo      2.441176     a
18   10.040539      bar      2.413350     a
19    3.861864  foo bar      2.533426     a
20    7.373686      bar      3.957579     a
21   14.907320      bar      0.647642     a
22   -9.358339                    NaN     b
23   11.758290  bar foo           NaN     a
24  -12.538807               3.980118     b
25   -6.377515      bar      2.450922     a
26    9.071052      foo      2.320222     b
27  -14.286807               3.346214     b
28   -1.400687               3.151037     b
29   -8.617549  foo bar      3.069403     a
970  17.209203  foo bar      3.144292     a
971 -15.684400      bar      3.175510     b
972  -0.480142      bar      3.012904     a
973 -11.125293  foo bar      3.257450     b
974  -0.647450  bar foo      2.307099     a
975   4.229193               3.155072     b
976   0.814909  bar foo      1.396721     a
977  -0.490117  bar foo           NaN     a
978  14.830392      bar           NaN     a
979   7.209894  foo bar      3.602538     a
980  -2.726545      bar           NaN     a
981   0.242114      foo      3.440198     b
982   8.708978      bar           NaN     a
983   6.097905  bar foo      5.420233     a
984  -4.250761  foo bar      2.706856     a
985 -17.752428  foo bar      2.356269     b
986 -11.846575                    NaN     b
987   1.459792      foo      3.198426     b
988 -17.865269      foo           NaN     b
989  -1.523945      foo      3.812554     b
990  -4.535692  bar foo           NaN     a
991   9.992528               3.726935     b
992 -13.180438      foo           NaN     b
993 -19.317690               4.227372     b
994  -4.196407      bar      2.721187     a
995   6.347631      foo      3.140256     b
996  10.699186      bar           NaN     a
997  -9.093270               4.132525     b
998   4.702637  foo bar           NaN     a
999 -11.114304  foo bar      1.963396     b
