Temperature (deg F),Dew Point (deg F),Pressure (atm)
79,70.8,1
77.4,71.2,1
76.4,71.3,1
75.7,71.4,1
75.1,71.4,1
74.6,71.3,1
74.5,71.3,1
76,72.3,1
79.8,72.8,1
83.3,72.1,1
86.6,71.1,1
89.3,70.2,1
91.6,69.1,1
93.2,68.4,1
94.4,67.6,1
95,67.1,1
94.8,66.8,1
93.9,66.9,1
92.4,66.7,1
89.9,67.7,1
86.1,68.6,1
83.6,69.5,1
81.8,70.3,1
80,70.7,1
79.1,70.8,1
77.4,71.2,1
76.5,71.3,1
75.8,71.4,1
75.2,71.5,1
74.6,71.4,1
...,...,...
90,66.4,1
86.8,67.3,1
83.7,67.9,1
81.5,68.5,1
79.9,69.1,1
78.4,69.3,1
77.8,69.3,1
76.3,69.6,1
75.5,69.6,1
74.7,69.6,1
74.1,69.6,1
73.5,69.4,1
73.4,69.3,1
74.3,70.1,1
78.1,71.1,1
81.9,71,1
85.2,70.4,1
87.9,69.5,1
90.1,68.5,1
91.6,67.9,1
92.6,67.2,1
93.1,66.7,1
93,66.2,1
91.9,66.3,1
89.8,66.3,1
86.6,67.2,1
83.4,67.8,1
81.2,68.4,1
79.7,68.9,1
78.2,69.2,1
